Country or region,Score_15,Score_16,Score_17,Score_18,Score_19,Overall rank_15,Overall rank_16,Overall rank_17,Overall rank_18,Overall rank_19
United Arab Emirates,6.901,6.573,6.6479997634887695,6.774,6.825,20.0,28.0,21.0,20.0,21.0
United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.0539999999999985,21.0,23.0,19.0,11.0,15.0
Oman,6.853,,,,,22.0,,,,
Venezuela,6.81,6.084,5.25,4.806,4.707,23.0,44.0,82.0,102.0,108.0
Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005,24.0,22.0,26.0,34.0,34.0
Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.3210000000000015,25.0,25.0,30.0,27.0,31.0
Germany,6.75,6.994,6.9510002136230495,6.965,6.985,26.0,16.0,16.0,15.0,17.0
Chile,6.67,6.705,6.65199995040894,6.476,6.444,27.0,24.0,20.0,25.0,26.0
Qatar,6.6110000000000015,6.375,6.375,6.374,6.374,28.0,36.0,35.0,32.0,29.0
France,6.575,6.478,6.44199991226196,6.489,6.5920000000000005,29.0,32.0,31.0,23.0,24.0
Argentina,6.574,6.65,6.59899997711182,6.388,6.086,30.0,26.0,24.0,29.0,47.0
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,31.0,27.0,23.0,21.0,20.0
Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999998,32.0,29.0,28.0,31.0,33.0
Colombia,6.477,6.481,6.35699987411499,6.26,6.125,33.0,31.0,36.0,37.0,43.0
Thailand,6.455,6.474,6.423999786376951,6.072,6.007999999999999,34.0,33.0,32.0,46.0,52.0
Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375,35.0,34.0,37.0,33.0,28.0
Spain,6.329,6.3610000000000015,6.40299987792969,6.31,6.354,36.0,37.0,34.0,36.0,30.0
Malta,6.3020000000000005,6.488,6.52699995040894,6.627000000000002,6.726,37.0,30.0,27.0,22.0,22.0
Taiwan,6.297999999999999,6.379,6.42199993133545,6.441,6.4460000000000015,38.0,34.0,33.0,26.0,25.0
Kuwait,6.295,6.239,6.10500001907349,6.082999999999998,6.021,39.0,41.0,39.0,45.0,51.0
Suriname,6.269,6.269,,,,40.0,40.0,,,
Trinidad & Tobago,6.167999999999998,6.167999999999998,6.1680002212524405,6.192,6.192,41.0,43.0,38.0,38.0,39.0
El Salvador,6.13,6.068,6.0029997825622585,6.167000000000002,6.252999999999999,42.0,46.0,45.0,40.0,35.0
Guatemala,6.122999999999998,6.324,6.4539999961853,6.3820000000000014,6.436,43.0,39.0,29.0,30.0,27.0
Uzbekistan,6.002999999999999,5.987,5.97100019454956,6.096,6.174,44.0,49.0,47.0,44.0,41.0
Slovakia,5.995,6.0779999999999985,6.09800004959106,6.172999999999999,6.198,45.0,45.0,40.0,39.0,38.0
Japan,5.987,5.921,5.92000007629395,5.915,5.886,46.0,53.0,51.0,54.0,58.0
South Korea,5.984,5.835,5.837999820709231,5.875,5.895,47.0,57.0,55.0,57.0,54.0
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,48.0,51.0,44.0,48.0,50.0
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,49.0,42.0,41.0,43.0,37.0
Italy,5.948,5.977,5.96400022506714,6.0,6.223,50.0,50.0,48.0,47.0,36.0
Bolivia,5.89,5.822,5.82299995422363,5.752000000000002,5.779,51.0,59.0,58.0,62.0,61.0
Moldova,5.8889999999999985,5.897,5.837999820709231,5.64,5.529,52.0,55.0,56.0,67.0,71.0
Paraguay,5.877999999999999,5.5379999999999985,5.493000030517581,5.681,5.7429999999999986,53.0,70.0,70.0,64.0,63.0
Kazakhstan,5.855,5.919,5.8189997673034695,5.79,5.809,54.0,54.0,60.0,60.0,60.0
Slovenia,5.848,5.768,5.75799989700317,5.948,6.1179999999999986,55.0,63.0,62.0,51.0,44.0
Lithuania,5.832999999999998,5.813,5.90199995040894,5.952000000000001,6.149,56.0,60.0,52.0,50.0,42.0
Nicaragua,5.8279999999999985,5.992000000000001,6.07100009918213,6.141,6.105,57.0,48.0,43.0,41.0,45.0
Peru,5.824,5.7429999999999986,5.71500015258789,5.6629999999999985,5.697,58.0,64.0,63.0,65.0,65.0
Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.323,59.0,61.0,67.0,73.0,81.0
Poland,5.791,5.835,5.97300004959106,6.122999999999998,6.182,60.0,57.0,46.0,42.0,40.0
Malaysia,5.77,6.005,6.08400011062622,6.322,5.339,61.0,47.0,42.0,35.0,80.0
Croatia,5.759,5.488,5.2930002212524405,5.3210000000000015,5.432,62.0,74.0,77.0,82.0,75.0
Libya,5.754,5.615,5.525000095367429,5.566,5.525,63.0,67.0,68.0,70.0,72.0
Russia,5.716,5.856,5.962999820709231,5.81,5.648,64.0,56.0,49.0,59.0,68.0
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89,65.0,73.0,76.0,56.0,56.0
Northern Cyprus,5.695,5.771,5.80999994277954,5.835,5.718,66.0,62.0,61.0,58.0,64.0
Cyprus,5.689,5.546,5.62099981307983,5.7620000000000005,6.046,67.0,69.0,65.0,61.0,49.0
Algeria,5.605,6.355,5.8720002174377415,5.295,5.211,68.0,38.0,53.0,84.0,88.0
Kosovo,5.589,5.401,5.27899980545044,5.662000000000001,6.1,69.0,77.0,78.0,66.0,46.0
Turkmenistan,5.547999999999999,5.658,5.82200002670288,5.636,5.247000000000001,70.0,65.0,59.0,68.0,87.0
Mauritius,5.477,5.648,5.62900018692017,5.891,5.888,71.0,66.0,64.0,55.0,57.0
Hong Kong,5.474,5.457999999999998,5.47200012207031,5.43,5.43,72.0,75.0,71.0,76.0,76.0
Estonia,5.4289999999999985,5.517,5.61100006103516,5.739,5.893,73.0,72.0,66.0,63.0,55.0
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,74.0,79.0,81.0,96.0,92.0
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,75.0,96.0,94.0,95.0,94.0
Turkey,5.332000000000002,5.3889999999999985,5.5,5.483,5.372999999999998,76.0,78.0,69.0,74.0,79.0
Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705,5.131,5.261,77.0,85.0,98.0,92.0,86.0
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,78.0,103.0,95.0,91.0,85.0
Bhutan,5.252999999999999,5.1960000000000015,5.01100015640259,5.082,5.082,79.0,84.0,97.0,97.0,95.0
Azerbaijan,5.2120000000000015,5.291,5.2340002059936515,5.2010000000000005,5.207999999999998,80.0,81.0,85.0,87.0,90.0
Pakistan,5.194,5.1320000000000014,5.26900005340576,5.472,5.653,81.0,92.0,80.0,75.0,67.0
Jordan,5.192,5.303,5.33599996566772,5.1610000000000005,4.9060000000000015,82.0,80.0,74.0,90.0,101.0
Montenegro,5.192,5.1610000000000005,5.23699998855591,5.347,5.523,82.0,88.0,83.0,81.0,73.0
China,5.14,5.245,5.2729997634887695,5.246,5.191,84.0,83.0,79.0,86.0,93.0
Zambia,5.129,4.795,4.513999938964839,4.377,4.107,85.0,106.0,116.0,125.0,138.0
Romania,5.124,5.528,5.824999809265139,5.945,6.07,86.0,71.0,57.0,52.0,48.0
Serbia,5.122999999999998,5.1770000000000005,5.39499998092651,5.398,5.603,87.0,86.0,73.0,78.0,70.0
Portugal,5.102,5.122999999999998,5.19500017166138,5.41,5.693,88.0,94.0,89.0,77.0,66.0
Latvia,5.098,5.56,5.849999904632571,5.933,5.94,89.0,68.0,54.0,53.0,53.0
Philippines,5.073,5.279,5.42999982833862,5.524,5.631,90.0,82.0,72.0,71.0,69.0
Somaliland Region,5.057,5.057,,,,91.0,97.0,,,
Morocco,5.013,5.151,5.2350001335144,5.254,5.207999999999998,92.0,90.0,84.0,85.0,89.0
Macedonia,5.007,5.121,5.1750001907348615,5.185,,93.0,95.0,92.0,89.0,
Mozambique,4.971,,4.5500001907348615,4.417,4.466,94.0,,113.0,123.0,123.0
Albania,4.959,4.655,4.64400005340576,4.586,4.7189999999999985,95.0,109.0,109.0,112.0,107.0
Bosnia and Herzegovina,4.949,5.1629999999999985,5.18200016021729,5.129,5.386,96.0,87.0,90.0,93.0,78.0
Lesotho,4.898,,3.80800008773804,3.808,3.802,97.0,,139.0,141.0,144.0
Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425,98.0,89.0,86.0,83.0,77.0
Laos,4.876,4.876,,4.623,4.796,99.0,102.0,,110.0,105.0
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,100.0,101.0,100.0,94.0,83.0
Swaziland,4.867,,,,4.212,101.0,,,,135.0
Greece,4.857,5.033,5.227000236511231,5.358,5.287000000000001,102.0,99.0,87.0,79.0,82.0
Lebanon,4.839,5.129,5.22499990463257,5.358,5.197,103.0,93.0,88.0,80.0,91.0
Hungary,4.8,5.145,5.32399988174438,5.62,5.757999999999999,104.0,91.0,75.0,69.0,62.0
Honduras,4.788,4.871,5.1810002326965305,5.504,5.86,105.0,104.0,91.0,72.0,59.0
Tajikistan,4.7860000000000005,4.996,5.04099988937378,5.199,5.4670000000000005,106.0,100.0,96.0,88.0,74.0
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,107.0,98.0,102.0,111.0,124.0
Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.6960000000000015,108.0,108.0,103.0,104.0,110.0
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456,109.0,110.0,110.0,115.0,125.0
Iran,4.686,4.813,4.69199991226196,4.707,4.548,110.0,105.0,108.0,106.0,117.0
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,111.0,123.0,132.0,138.0,133.0
Iraq,4.677,4.575,4.49700021743774,4.456,4.437,112.0,112.0,117.0,117.0,126.0
South Africa,4.642,4.459,4.8289999961853,4.724,4.722,113.0,116.0,101.0,105.0,106.0
Ghana,4.633,4.276,4.11999988555908,4.657,4.996,114.0,124.0,131.0,108.0,98.0
Zimbabwe,4.61,4.1930000000000005,3.875,3.692,3.663,115.0,131.0,138.0,144.0,146.0
Liberia,4.5710000000000015,3.622,3.532999992370609,3.495,3.975,116.0,150.0,148.0,149.0,141.0
India,4.565,4.404,4.31500005722046,4.19,4.015,117.0,118.0,122.0,133.0,140.0
Sudan,4.55,4.1389999999999985,4.138999938964839,4.1389999999999985,,118.0,133.0,130.0,137.0,
Haiti,4.518,4.0280000000000005,3.6029999256134,3.582,3.597,119.0,136.0,145.0,148.0,147.0
Congo (Kinshasa),4.517,4.272,4.280000209808351,4.245,4.418,120.0,125.0,126.0,132.0,127.0
Nepal,4.5139999999999985,4.793,4.961999893188481,4.88,4.913,121.0,107.0,99.0,101.0,100.0
Ethiopia,4.512,4.508,4.46000003814697,4.35,4.2860000000000005,122.0,115.0,119.0,127.0,134.0
Sierra Leone,4.507,4.635,4.70900011062622,4.5710000000000015,4.374,123.0,111.0,106.0,113.0,129.0
Mauritania,4.436,4.2010000000000005,4.29199981689453,4.356,4.49,124.0,130.0,123.0,126.0,122.0
Kenya,4.419,4.356,4.55299997329712,4.41,4.509,125.0,122.0,112.0,124.0,121.0
Djibouti,4.369,,,,,126.0,,,,
Armenia,4.35,4.36,4.37599992752075,4.3210000000000015,4.559,127.0,121.0,121.0,129.0,116.0
Botswana,4.332,3.974,3.7660000324249294,3.59,3.488,128.0,137.0,142.0,146.0,148.0
Myanmar,4.307,4.395,4.54500007629395,4.308,4.36,129.0,119.0,114.0,130.0,131.0
Georgia,4.297,4.252,4.28599977493286,4.34,4.519,130.0,126.0,125.0,128.0,119.0
Malawi,4.292,4.1560000000000015,3.97000002861023,3.587,3.41,131.0,132.0,136.0,147.0,150.0
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,132.0,117.0,120.0,116.0,130.0
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,133.0,114.0,107.0,99.0,96.0
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,134.0,129.0,105.0,100.0,97.0
Egypt,4.194,4.362,4.7350001335144,4.419,4.166,135.0,120.0,104.0,122.0,137.0
Yemen,4.077,3.724,3.59299993515015,3.355,3.38,136.0,147.0,146.0,152.0,151.0
Angola,4.033,3.866,3.79500007629395,3.795,,137.0,141.0,140.0,142.0,
Mali,3.995,4.073,4.19000005722046,4.447,4.39,138.0,135.0,127.0,118.0,128.0
Congo (Brazzaville),3.989,4.2360000000000015,4.29099988937378,4.559,4.812,139.0,127.0,124.0,114.0,103.0
Comoros,3.956,3.956,,,3.973,140.0,138.0,,,142.0
Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189,141.0,145.0,133.0,135.0,136.0
Senegal,3.904,4.2189999999999985,4.53499984741211,4.631,4.681,142.0,128.0,115.0,109.0,111.0
Gabon,3.896,4.121,4.46500015258789,4.758,4.799,143.0,134.0,118.0,103.0,104.0
Niger,3.845,3.856,4.02799987792969,4.166,4.628,144.0,142.0,135.0,134.0,114.0
Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7,145.0,140.0,129.0,120.0,109.0
Tanzania,3.781,3.666,3.34899997711182,3.303,3.2310000000000003,146.0,149.0,153.0,153.0,153.0
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933,147.0,148.0,144.0,143.0,143.0
Central African Republic,3.678,,2.69300007820129,3.083,3.083,148.0,,155.0,155.0,155.0
Chad,3.667,3.763,3.9360001087188703,4.301,4.35,149.0,144.0,137.0,131.0,132.0
Guinea,3.656,3.607,3.50699996948242,3.964,4.534,150.0,151.0,149.0,140.0,118.0
Ivory Coast,3.655,3.916,4.17999982833862,4.671,4.944,151.0,139.0,128.0,107.0,99.0
Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587,152.0,145.0,134.0,121.0,115.0
Afghanistan,3.575,3.36,3.79399991035461,3.632,3.2030000000000003,153.0,154.0,141.0,145.0,154.0
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334,154.0,152.0,151.0,151.0,152.0
Benin,3.34,3.484,3.65700006484985,4.141,4.883,155.0,153.0,143.0,136.0,102.0
Syria,3.006,3.069,3.46199989318848,3.462,3.462,156.0,156.0,152.0,150.0,149.0
Burundi,2.905,2.905,2.90499997138977,2.905,3.775,157.0,157.0,154.0,156.0,145.0
Togo,2.839,3.303,3.4949998855590803,3.999,4.085,158.0,155.0,150.0,139.0,139.0
Puerto Rico,,7.039,,,,,15.0,,,
Belize,,5.956,5.955999851226809,5.956,,,52.0,50.0,49.0,
Somalia,,5.44,5.151000022888179,4.982,4.668,,76.0,93.0,98.0,112.0
Namibia,,4.574,4.57399988174438,4.441,4.6389999999999985,,113.0,111.0,119.0,113.0
South Sudan,,3.832,3.5910000801086404,3.254,2.853,,143.0,147.0,154.0,156.0
North Macedonia,,,,,5.274,,,,,84.0
Gambia,,,,,4.516,,,,,120.0
